"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2604","Invalid login with wrong credentials","","Mon Nov 10 21:36:50 IST 2025","passed","Mon Nov 10 21:36:53 IST 2025","Login Tests","spec\login.spec.js","",""
"","4184","Successful login with valid credentials","","Mon Nov 10 21:36:46 IST 2025","passed","Mon Nov 10 21:36:50 IST 2025","Login Tests","spec\login.spec.js","",""
